no_indicacao;autor;uo_sigla;ano;tipo_de_indicacao;objeto;funcao_descricao;municipio;nome_do_beneficiario;no_instrumento;valor_indicado;valor_utilizado;valor_empenhado;valor_pago;status
178956;LUCAS LASMAR;SEGOV;2025;TRANSFERÊNCIA ESPECIAL;Transferência Especial;ADMINISTRAÇÃO;OLIVEIRA;MUNICIPIO DE OLIVEIRA;0041/2025;50000,0;50000,0;50000,0;50000,0;Pago Total
162264;DOUTOR WILSON BATISTA;FES;2025;RESOLUÇÃO SES;Custeio;SAÚDE;JAIBA;FUNDO MUNICIPAL DE SAUDE;010163/2025;190000,0;190000,0;190000,0;190000,0;Pago Total
179255;NORALDINO JUNIOR;SEMAD;2025;CELEBRAÇÃO DE CONVÊNIO;AQUISIÇÃO DE BENS - Permanente - Equipamentos para promoção da saúde animal;GESTÃO AMBIENTAL;BETIM;ASSOCIACAO BETINENSE DE REABILITACAO ASSISTENCIA SOCIAL, CULTURA E ESPORTIVA - ABRACE;1371000605/2025;45721,65;45721,65;45721,65;45721,65;Pago Total
161348;ZÉ GUILHERME;SEGOV;2025;CELEBRAÇÃO DE CONVÊNIO;AQUISIÇÃO DE BENS - Permanente - Não há;ADMINISTRAÇÃO;NOVA SERRANA;APAE - ASSOC.PAIS AMIGOS EXCEPCIONAIS NOVA SERRANA;1491002673/2025;60000,0;60000,0;60000,0;60000,0;Pago Total
166878;ULYSSES GOMES;SEDESE;2025;CELEBRAÇÃO DE CONVÊNIO;AQUISIÇÃO DE BENS - Consumo - Não há;ADMINISTRAÇÃO;CONCEICAO DO RIO VERDE;LAR DO IDOSO SAO BENEDITO;1481000770/2025;100000,0;99966,86;99966,86;99966,86;Pago Total
162319;JOAO VITOR XAVIER;SEGOV;2025;CELEBRAÇÃO DE CONVÊNIO;AQUISIÇÃO DE BENS - Permanente - Não há;ADMINISTRAÇÃO;CAETE;ASSOCIACAO COMUNITARIA DO BAIRRO CHARNEAUX;1491000610/2025;100000,0;100000,0;100000,0;100000,0;Pago Total
162196;CORONEL HENRIQUE;FES;2025;RESOLUÇÃO SES;Custeio;SAÚDE;JANAUBA;FUNDO MUNICIPAL DE SAÚDE DE JANAÚBA;;1200000,0;0,0;0,0;0,0;Reprovado
179494;LELECO PIMENTEL;SEDESE;2025;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;Kit Esportivo;DESPORTO E LAZER;BELO HORIZONTE;CENTRO DE PREVENCAO E PROTECAO A VIDA - KILAMBA;;35000,0;31707,54;31707,54;0,0;Empenhado
163849;TADEU MARTINS LEITE;SEGOV;2025;TRANSFERÊNCIA ESPECIAL;Transferência Especial;ADMINISTRAÇÃO;ESPINOSA;MUNICIPIO DE ESPINOSA;0016/2025;328340,0;328340,0;328340,0;328340,0;Pago Total
168221;CASSIO SOARES;SEGOV;2025;TRANSFERÊNCIA ESPECIAL;Transferência Especial;ADMINISTRAÇÃO;GUAXUPE;MUNICIPIO DE GUAXUPE;0016/2025;250000,0;250000,0;250000,0;250000,0;Pago Total
162763;PROFESSOR WENDEL MESQUITA;FES;2025;RESOLUÇÃO SES;Custeio;SAÚDE;SANTO ANTONIO DO JACINTO;FUNDO MUNICIPAL DE SAUDE DE SANTO ANTONIO DO JACINTO;010092/2025;180000,0;180000,0;180000,0;180000,0;Pago Total
159153;BLOCO AVANCA MINAS;SEE;2025;EXECUÇÃO DIRETA - CAIXA ESCOLAR;Equipamento e Mobiliário;EDUCAÇÃO;PIMENTA;EE PADRE JOSÉ ESPÍNDOLA;1055173;100000,0;100000,0;100000,0;100000,0;Pago Total
164876;CAPOREZZO;PMMG;2025;EXECUÇÃO DIRETA;Equipamentos e bens permanentes;SEGURANÇA PÚBLICA;BELO HORIZONTE;22º BPM - Santa Lúcia;;57500,0;57500,0;55398,7;51446,89;Pago Parcial
169077;JOAO VITOR XAVIER;SEGOV;2025;TRANSFERÊNCIA ESPECIAL;Transferência Especial;ADMINISTRAÇÃO;OURO PRETO;MUNICIPIO DE OURO PRETO;0016/2025;130000,0;130000,0;130000,0;130000,0;Pago Total
158904;CORONEL SANDRO;FES;2025;RESOLUÇÃO SES;Veículo Minivan (mínimo 7 lugares);SAÚDE;AIMORES;FUNDO MUNICIPAL DE SAUDE;010063/2025;150000,0;150000,0;150000,0;150000,0;Pago Total
165075;MARQUINHO LEMOS;SEGOV;2025;TRANSFERÊNCIA ESPECIAL;Transferência Especial;ADMINISTRAÇÃO;PEDRALVA;MUNICIPIO DE PEDRALVA;0016/2025;80000,0;80000,0;80000,0;80000,0;Pago Total
179892;MARQUINHO LEMOS;EMATER;2025;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;Implementos agrícolas;AGRICULTURA;COLUNA;ASSOCIACAO DOS AGRICULTORES FAMILIARES DE SAO PEDRO DO ITIMIRIM;;40050,0;40050,0;40050,0;40050,0;Pago Total
166860;JOAO VITOR XAVIER;FES;2025;RESOLUÇÃO SES;Custeio;SAÚDE;SANTA LUZIA;FUNDO MUNICIPAL DE SAUDE DE SANTA LUZIA;010092/2025;400000,0;400000,0;400000,0;400000,0;Pago Total
158323;BLOCO MINAS EM FRENTE;SEGOV;2025;TRANSFERÊNCIA ESPECIAL;Transferência Especial;ADMINISTRAÇÃO;BELA VISTA DE MINAS;MUNICIPIO DE BELA VISTA DE MINAS;0016/2025;30000,0;30000,0;30000,0;30000,0;Pago Total
169063;GUSTAVO SANTANA;FES;2025;RESOLUÇÃO SES;Custeio;SAÚDE;AGUAS FORMOSAS;HOSPITAL SÃO VICENTE DE PAULO DE ÁGUAS FORMOSAS;010315/2025;200000,0;200000,0;200000,0;200000,0;Pago Total
166153;DR. MAURICIO;FES;2025;RESOLUÇÃO SES;Custeio;SAÚDE;CONGONHAL;FUNDO MUNICIPAL DE SAUDE DE CONGONHAL;010092/2025;180000,0;180000,0;180000,0;180000,0;Pago Total
180327;RODRIGO LOPES;EMATER;2025;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;Laticínio;AGRICULTURA;ANDRADAS;ASSOCIACAO DE MORADORES DO DISTRITO DO CAMPESTRINHO;;516259,3;0,0;0,0;0,0;Reprovado
166425;LENINHA;EMATER;2025;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;Kit semenetes de cereais;AGRICULTURA;CAPITAO ENEAS;MUNICIPIO DE CAPITAO ENEAS;;14000,0;13890,0;13890,0;13890,0;Pago Total
179900;MARQUINHO LEMOS;SEGOV;2025;TRANSFERÊNCIA ESPECIAL;Transferência Especial;ADMINISTRAÇÃO;GUARANESIA;MUNICIPIO DE GUARANESIA;0041/2025;35000,0;35000,0;35000,0;35000,0;Pago Total
162515;PROFESSOR CLEITON;SEGOV;2025;TRANSFERÊNCIA ESPECIAL;Transferência Especial;ADMINISTRAÇÃO;BOM JESUS DA PENHA;MUNICIPIO DE BOM JESUS DA PENHA;0016/2025;320000,0;320000,0;320000,0;320000,0;Pago Total
161682;MARLI RIBEIRO;SEDESE;2025;CELEBRAÇÃO DE CONVÊNIO;AQUISIÇÃO DE BENS - Consumo - Não há;ADMINISTRAÇÃO;BURITIZEIRO;ASSOCIACAO COMUNITARIA DOS MORADORES E AGRICULTORES FAMILIARES DO FORMOSO;;150000,0;0,0;0,0;0,0;Reprovado
158570;BLOCO AVANCA MINAS;SEGOV;2025;TRANSFERÊNCIA ESPECIAL;Transferência Especial;ADMINISTRAÇÃO;MATEUS LEME;MUNICIPIO DE MATEUS LEME;0016/2025;80000,0;80000,0;80000,0;80000,0;Pago Total
160859;HELY TARQUINIO;PCMG;2025;EXECUÇÃO DIRETA;Equipamento e Mobiliário;SEGURANÇA PÚBLICA;A SER DEFINIDO PELO ÓRGÃO;A SER DEFINIDO PELO ÓRGÃO;;325000,0;325000,0;324904,62;96233,71;Pago Parcial
179844;MARQUINHO LEMOS;EMATER;2025;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;Kit sementes hortaliças;AGRICULTURA;ORIZANIA;MUNICIPIO DE ORIZANIA;;6000,0;6000,0;5920,5;5920,5;Pago Total
166615;TITO TORRES;SEGOV;2025;TRANSFERÊNCIA ESPECIAL;Transferência Especial;ADMINISTRAÇÃO;JOSE RAYDAN;MUNICIPIO DE JOSE RAYDAN;0016/2025;35390,83;35390,83;35390,83;35390,83;Pago Total
168572;GUSTAVO SANTANA;SEGOV;2025;TRANSFERÊNCIA ESPECIAL;Transferência Especial;ADMINISTRAÇÃO;NANUQUE;MUNICIPIO DE NANUQUE;0016/2025;150000,0;150000,0;150000,0;150000,0;Pago Total
165795;LOHANNA;FES;2025;RESOLUÇÃO SES;Veículo Passeio (5 lugares);SAÚDE;SANTA RITA DE JACUTINGA;FUNDO MUNICIPAL DE SAUDE DE SANTA RITA DE JACUTINGA;010088/2025;83953,0;83953,0;83953,0;83953,0;Pago Total
160672;BLOCO MINAS EM FRENTE;SEE;2025;EXECUÇÃO DIRETA - CAIXA ESCOLAR;Equipamento e Mobiliário;EDUCAÇÃO;FREI INOCENCIO;EE FREI INOCÊNCIO;1055553;100000,0;100000,0;100000,0;100000,0;Pago Total
164686;ANTONIO CARLOS ARANTES;FES;2025;RESOLUÇÃO SES;Veículo Minivan (mínimo 7 lugares);SAÚDE;CRISTAIS;FUNDO MUNICIPAL DE SAUDE DE CRISTAIS;010088/2025;150000,0;150000,0;150000,0;150000,0;Pago Total
166449;TITO TORRES;FES;2025;RESOLUÇÃO SES;Veículo Passeio (5 lugares);SAÚDE;SERRANOS;FUNDO MUNICIPAL DE SAUDE;010088/2025;83953,0;83953,0;83953,0;83953,0;Pago Total
166654;ULYSSES GOMES;FES;2025;RESOLUÇÃO SES;Custeio;SAÚDE;CALDAS;SANTA CASA DE MISERICORDIA DE CALDAS;010091/2025;180000,0;180000,0;180000,0;180000,0;Pago Total
166041;ULYSSES GOMES;FES;2025;RESOLUÇÃO SES;Custeio;SAÚDE;POCO FUNDO;MUNICIPIO DE POCO FUNDO - FUNDO MUNICIPAL DE SAUDE;010092/2025;132094,0;132094,0;132094,0;132094,0;Pago Total
162438;CELINHO DO SINTTROCEL;SEGOV;2025;TRANSFERÊNCIA ESPECIAL;Transferência Especial;ADMINISTRAÇÃO;IPABA;MUNICIPIO DE IPABA;0016/2025;200000,0;200000,0;200000,0;200000,0;Pago Total
165683;JOAO VITOR XAVIER;PMMG;2025;EXECUÇÃO DIRETA;Pistola Semiautomática Calibre 9mm;SEGURANÇA PÚBLICA;BELO HORIZONTE;BPCHQ/CPE - Gameleira;;150000,0;150000,0;149482,0;130386,0;Pago Parcial
163377;JOAO MAGALHAES;SEGOV;2025;TRANSFERÊNCIA ESPECIAL;Transferência Especial;ADMINISTRAÇÃO;DIVINO;MUNICIPIO DE DIVINO;0016/2025;300000,0;300000,0;300000,0;300000,0;Pago Total
160084;BLOCO AVANCA MINAS;SEGOV;2025;TRANSFERÊNCIA ESPECIAL;Transferência Especial;ADMINISTRAÇÃO;PAVAO;MUNICIPIO DE PAVAO;0016/2025;15000,0;15000,0;15000,0;15000,0;Pago Total
163087;JOAO VITOR XAVIER;PMMG;2025;EXECUÇÃO DIRETA;Custeio;SEGURANÇA PÚBLICA;BELO HORIZONTE;5º BPM - Gamleira;;80200,0;80200,0;76300,0;0,0;Empenhado
162551;BRUNO ENGLER;FES;2025;RESOLUÇÃO SES;Custeio;SAÚDE;PASSOS;IRMANDADE DA SANTA CASA DE MISERICORDIA DE PASSOS;010091/2025;300000,0;300000,0;300000,0;300000,0;Pago Total
161606;EDUARDO AZEVEDO;FES;2025;RESOLUÇÃO SES;Veículo de Transporte Sanitário ( Com Acessibilidade - 1 Cadeirante);SAÚDE;NOVA PONTE;FUNDO MUNICIPAL DE SAUDE DE NOVA PONTE;010096/2025;304800,0;304800,0;304800,0;304800,0;Pago Total
167287;THIAGO COTA;SEGOV;2025;TRANSFERÊNCIA ESPECIAL;Transferência Especial;ADMINISTRAÇÃO;MATHIAS LOBATO;MUNICIPIO DE MATHIAS LOBATO;0016/2025;400000,0;400000,0;400000,0;400000,0;Pago Total
166675;BRUNO ENGLER;PMMG;2025;EXECUÇÃO DIRETA;Colete de Proteção Balística;SEGURANÇA PÚBLICA;LAGOA DA PRATA;107º CIA PM - Lagoa da Prata;;30000,0;30000,0;29685,0;29685,0;Pago Total
159610;BLOCO MINAS EM FRENTE;SEE;2025;EXECUÇÃO DIRETA - CAIXA ESCOLAR;Manutenção e Conservação Predial;EDUCAÇÃO;BELO HORIZONTE;EE ORDEM E PROGRESSO;1054623;100000,0;100000,0;100000,0;100000,0;Pago Total
168106;BEATRIZ CERQUEIRA;SEGOV;2025;TRANSFERÊNCIA ESPECIAL;Transferência Especial;ADMINISTRAÇÃO;CONTAGEM;MUNICIPIO DE CONTAGEM;0016/2025;115000,0;115000,0;115000,0;115000,0;Pago Total
165933;LUIZINHO;FES;2025;RESOLUÇÃO SES;Custeio;SAÚDE;BOM REPOUSO;FUNDO MUNICIPAL DE SAUDE DE BOM REPOUSO;010092/2025;220000,0;220000,0;220000,0;220000,0;Pago Total
159393;SARGENTO RODRIGUES;FES;2025;RESOLUÇÃO SES;Custeio;SAÚDE;SANTANA DOS MONTES;FUNDO MUNICIPAL DE SAUDE DE SANTANA DOS MONTES;010049/2025;220000,0;220000,0;220000,0;220000,0;Pago Total
165251;DR. MAURICIO;SEMAD;2025;CELEBRAÇÃO DE CONVÊNIO;AQUISIÇÃO DE BENS - Consumo - Suprimentos para Proteção Animal;GESTÃO AMBIENTAL;UBERABA;ASSOCIACAO UBERABENSE DE PROTECAO AOS ANIMAIS - SUPRA;;100000,0;0,0;0,0;0,0;Reprovado
164245;ADRIANO ALVARENGA;SEGOV;2025;TRANSFERÊNCIA ESPECIAL;Transferência Especial;ADMINISTRAÇÃO;JOAO MONLEVADE;MUNICIPIO DE JOAO MONLEVADE;0016/2025;25789,53;25789,53;25789,53;25789,53;Pago Total
164186;BLOCO MINAS EM FRENTE;SEE;2025;EXECUÇÃO DIRETA - CAIXA ESCOLAR;Equipamento e Mobiliário;EDUCAÇÃO;BETIM;EE CÂNDIDO PORTINARI;1055046;100000,0;100000,0;100000,0;100000,0;Pago Total
167539;CASSIO SOARES;SEDESE;2025;CELEBRAÇÃO DE CONVÊNIO;AQUISIÇÃO DE BENS - Consumo - Não há;ADMINISTRAÇÃO;CAPITOLIO;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CAPITOLIO;;200000,0;0,0;0,0;0,0;Reprovado
162501;MARLI RIBEIRO;SEGOV;2025;TRANSFERÊNCIA ESPECIAL;Transferência Especial;ADMINISTRAÇÃO;BURITIS;MUNICIPIO DE BURITIS;0016/2025;200000,0;200000,0;200000,0;200000,0;Pago Total
168259;MAURO TRAMONTE;FES;2025;RESOLUÇÃO SES;Custeio;SAÚDE;VISCONDE DO RIO BRANCO;FUNDO MUNICIPAL DE SAÚDE DE VISCONDE DO RIO BRANCO;010092/2025;180000,0;180000,0;180000,0;180000,0;Pago Total
163680;ANTONIO CARLOS ARANTES;SEDESE;2025;CELEBRAÇÃO DE CONVÊNIO;AQUISIÇÃO DE BENS - Consumo - Não há;ADMINISTRAÇÃO;CAMANDUCAIA;ASSOCIACAO BENEFICENTE MONTE VERDE;;100000,0;0,0;0,0;0,0;Reprovado
167697;LELECO PIMENTEL;SEGOV;2025;TRANSFERÊNCIA ESPECIAL;Transferência Especial;ADMINISTRAÇÃO;CONTAGEM;MUNICIPIO DE CONTAGEM;0016/2025;15000,0;15000,0;15000,0;15000,0;Pago Total
161524;DOUTOR PAULO;PMMG;2025;EXECUÇÃO DIRETA;Equipamentos e bens permanentes;SEGURANÇA PÚBLICA;POUSO ALEGRE;17º RPM - Pouso Alegre;;100000,0;100000,0;96280,36;96280,36;Pago Total
165071;MARQUINHO LEMOS;SEGOV;2025;TRANSFERÊNCIA ESPECIAL;Transferência Especial;ADMINISTRAÇÃO;PALMA;MUNICIPIO DE PALMA;0016/2025;80000,0;80000,0;80000,0;80000,0;Pago Total
160321;BLOCO DEMOCRACIA E LUTA;SEE;2025;EXECUÇÃO DIRETA - CAIXA ESCOLAR;Equipamento e Mobiliário;EDUCAÇÃO;PIEDADE DE CARATINGA;EE FREI CARLOS;1055270;100000,0;100000,0;100000,0;100000,0;Pago Total
165200;BEATRIZ CERQUEIRA;SEDESE;2025;CELEBRAÇÃO DE CONVÊNIO;AQUISIÇÃO DE BENS - Permanente - Mobiliário e Equipamento;DIREITOS DA CIDADANIA;ERECHIM;ASSOCIACAO NACIONAL DOS ATINGIDOS POR BARRAGENS;1481000850/2025;50000,0;50000,0;50000,0;50000,0;Pago Total
167666;BETINHO PINTO COELHO;SEDESE;2025;CELEBRAÇÃO DE CONVÊNIO;AQUISIÇÃO DE BENS - Permanente - Veículo Minivan (mínimo 7 lugares);ADMINISTRAÇÃO;CARMO DA CACHOEIRA;ASSOCIACAO DE PAIS E AMIGOS DE EXCEPCIONAIS;1481000275/2025;125737,7;125737,7;125737,7;125737,7;Pago Total
179559;ALÊ PORTELA;SEDESE;2025;CELEBRAÇÃO DE CONVÊNIO;AQUISIÇÃO DE BENS - Permanente - Veículo Passeio (5 lugares);ADMINISTRAÇÃO;LAGOA SANTA;ASSOCIACAO DE RECREACAO SOCIO CULTURAL E BLOCO PREVENIR E PRESERVAR;1481002088/2025;75000,0;74210,47;74210,47;74210,47;Pago Total
163096;CELINHO DO SINTTROCEL;SEDESE;2025;CELEBRAÇÃO DE CONVÊNIO;AQUISIÇÃO DE BENS - Permanente - Não há;ADMINISTRAÇÃO;BETIM;CENTRO INFANTIL PEDACINHO DO CEU;1481000819/2025;200000,0;144564,0;144564,0;144564,0;Pago Total
178958;ZÉ LAVIOLA;SEGOV;2025;CELEBRAÇÃO DE CONVÊNIO;AQUISIÇÃO DE BENS - Permanente - Não há;ADMINISTRAÇÃO;IBIRITE;AMEI ASSOCIACAO DE MULHERES EMPREENDEDORAS DE IBIRITE;1491001821/2025;100000,0;99430,6;99430,6;99430,6;Pago Total
158938;ADRIANO ALVARENGA;SEGOV;2025;CELEBRAÇÃO DE CONVÊNIO;AQUISIÇÃO DE BENS - Permanente - Veículo Passeio (5 lugares);ADMINISTRAÇÃO;RIO PIRACICABA;ASSOCIACAO COMERCIAL, INDUSTRIAL, AGROPECUARIA E DE PRESTACAO DE SERVICOS DE RIO PIRACICABA;1491000063/2025;74210,47;74210,47;74210,47;74210,47;Pago Total
168102;OSCAR TEIXEIRA;SEDESE;2025;CELEBRAÇÃO DE CONVÊNIO;AQUISIÇÃO DE BENS - Permanente - Não há;ADMINISTRAÇÃO;CORACAO DE JESUS;ASSOCIACAO DOS AGRICULTORES FAMILIARES DE PONTE DOS CIGANOS;1481000623/2025;126000,0;125737,7;125737,7;125737,7;Pago Total
168757;ELISMAR PRADO;SEDESE;2025;CELEBRAÇÃO DE CONVÊNIO;AQUISIÇÃO DE BENS - Permanente - Não há;ADMINISTRAÇÃO;BETIM;INSTITUTO G10 CRUZ AZUL;1481000314/2025;390000,0;390000,0;390000,0;390000,0;Pago Total
168508;RAUL BELÉM;SEDESE;2025;CELEBRAÇÃO DE CONVÊNIO;AQUISIÇÃO DE BENS - Permanente - Não há;ADMINISTRAÇÃO;UBERLANDIA;INSTITUTO POLITRIZ;1481000813/2025;200000,0;200000,0;200000,0;200000,0;Pago Total
158650;ALENCAR DA SILVEIRA JR.;SEGOV;2025;CELEBRAÇÃO DE CONVÊNIO;AQUISIÇÃO DE BENS - Permanente - Não há;ADMINISTRAÇÃO;ACUCENA;ASSOCIACAO SABORES DE ACUCENA;1491000111/2025;100000,0;100000,0;100000,0;100000,0;Pago Total
167576;DELEGADO CHRISTIANO XAVIER;FES;2025;RESOLUÇÃO SES;Custeio;SAÚDE;JABOTICATUBAS;FUNDO MUNICIPAL DE SAUDE;010092/2025;190000,0;190000,0;190000,0;190000,0;Pago Total
161429;ALENCAR DA SILVEIRA JR.;SEGOV;2025;TRANSFERÊNCIA ESPECIAL;Transferência Especial;ADMINISTRAÇÃO;CORONEL MURTA;MUNICIPIO DE CORONEL MURTA;0016/2025;50000,0;50000,0;50000,0;50000,0;Pago Total
161019;BLOCO MINAS EM FRENTE;SEE;2025;EXECUÇÃO DIRETA - CAIXA ESCOLAR;Projeto Pedagogico - Formatura ;EDUCAÇÃO;BELO HORIZONTE;EE URSULINA DE ANDRADE MELO;1054893;50000,0;50000,0;50000,0;50000,0;Pago Total
167408;LUCAS LASMAR;SEGOV;2025;TRANSFERÊNCIA ESPECIAL;Transferência Especial;ADMINISTRAÇÃO;SERRO;MUNICIPIO DE SERRO;0016/2025;200000,0;200000,0;200000,0;200000,0;Pago Total
158586;BLOCO AVANCA MINAS;FES;2025;RESOLUÇÃO SES;FES Ambulância Tipo A Simples Remoção - Furgão;SAÚDE;RESENDE COSTA;FUNDO MUNICIPAL DE SAUDE DE RESENDE COSTA;010042/2025;323812,0;323812,0;323812,0;323812,0;Pago Total
164178;BLOCO MINAS EM FRENTE;FES;2025;RESOLUÇÃO SES;Custeio;SAÚDE;UBERLANDIA;FUNDO MUNICIPAL DE SAUDE;010091/2025;650000,0;650000,0;650000,0;650000,0;Pago Total
159452;ANDREIA DE JESUS;HEMOMINAS;2025;EXECUÇÃO DIRETA;Equipamentos e Materiais Permanentes;SAÚDE;A SER DEFINIDO PELO ÓRGÃO;A SER DEFINIDO PELO ÓRGÃO;;375500,0;375500,0;0,0;0,0;Reprovado
166841;RAUL BELÉM;FES;2025;RESOLUÇÃO SES;Custeio;SAÚDE;MONTE CARMELO;FUNDO MUNICIPAL DE SAUDE;;500000,0;0,0;0,0;0,0;Reprovado
160136;BLOCO DEMOCRACIA E LUTA;SEE;2025;EXECUÇÃO DIRETA - CAIXA ESCOLAR;Equipamento e Mobiliário;EDUCAÇÃO;PORTEIRINHA;EE MIGUEL JOSÉ DA CUNHA;1055291;100000,0;100000,0;100000,0;100000,0;Pago Total
165028;PROFESSOR WENDEL MESQUITA;SEGOV;2025;TRANSFERÊNCIA ESPECIAL;Transferência Especial;ADMINISTRAÇÃO;SANTA HELENA DE MINAS;MUNICIPIO DE SANTA HELENA DE MINAS;0016/2025;36000,0;36000,0;36000,0;36000,0;Pago Total
163934;CELINHO DO SINTTROCEL;SEGOV;2025;TRANSFERÊNCIA ESPECIAL;Transferência Especial;ADMINISTRAÇÃO;NAQUE;MUNICIPIO DE NAQUE;0016/2025;800000,0;800000,0;800000,0;800000,0;Pago Total
162018;LELECO PIMENTEL;SEDESE;2025;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;Kit Esportivo;DESPORTO E LAZER;RIO MANSO;MUNICIPIO DE RIO MANSO;;50000,0;31746,08;31542,28;0,0;Empenhado
161914;BLOCO DEMOCRACIA E LUTA;SEE;2025;EXECUÇÃO DIRETA - CAIXA ESCOLAR;Equipamento e Mobiliário;EDUCAÇÃO;NOVA PORTEIRINHA;EE INSPETOR LUIZ PEDRO;1055147;100000,0;100000,0;100000,0;100000,0;Pago Total
161067;RICARDO CAMPOS;FES;2025;RESOLUÇÃO SES;Custeio;SAÚDE;NOVO CRUZEIRO;FUNDO MUNICIPAL DE SAUDE;010092/2025;300000,0;300000,0;300000,0;300000,0;Pago Total
160402;BLOCO DEMOCRACIA E LUTA;SEGOV;2025;TRANSFERÊNCIA ESPECIAL;Transferência Especial;ADMINISTRAÇÃO;NINHEIRA;MUNICIPIO DE NINHEIRA;0016/2025;6000,0;6000,0;6000,0;6000,0;Pago Total
168078;LUCAS LASMAR;SEDESE;2025;CELEBRAÇÃO DE CONVÊNIO;REFORMA OU OBRA - Reforma - Não há;DESPORTO E LAZER;OLIVEIRA;DOM BOSCO FUTEBOL CLUBE;1481000631/2025;250000,0;249787,83;249787,83;249787,83;Pago Total
159349;BELLA GONÇALVES;SECULT;2025;CELEBRAÇÃO DE CONVÊNIO;SERVIÇOS - Apoio - PROJETOS CULTURAIS E TURISTICOS DE INTERESSE PÚBLICO;CULTURA;BELO HORIZONTE;ASSOCIACAO FILME DE RUA;1271000191/2025;470000,0;470000,0;470000,0;470000,0;Pago Total
